trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
404,False,"{'a': 0.7, 'e': 0.19199999999999928}",20,3,-22.35360135442697,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
405,False,"{'a': 0.7, 'e': 0.18999999999999928}",25,8,15.829604608186514,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
406,False,"{'a': 0.7, 'e': 0.18799999999999928}",20,16,7.372981088958224,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.7, 'e': 0.18599999999999928}",20,5,0.6017763098410036,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
408,False,"{'a': 0.7, 'e': 0.18399999999999928}",25,5,2.324761712319029,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
409,False,"{'a': 0.7, 'e': 0.18199999999999927}",20,0,18.544598032876298,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
410,False,"{'a': 0.7, 'e': 0.17999999999999927}",25,11,29.391825591037954,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.7, 'e': 0.17799999999999927}",30,10,11.018647201451094,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
412,False,"{'a': 0.7, 'e': 0.17599999999999927}",30,19,23.607056591987728,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.7, 'e': 0.17399999999999927}",20,12,15.06600192616963,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.7, 'e': 0.17199999999999926}",25,2,0.6953881918815061,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 0}",1
415,False,"{'a': 0.7, 'e': 0.16999999999999926}",20,11,15.961055387347589,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.7, 'e': 0.16799999999999926}",20,16,8.441345086233566,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.7, 'e': 0.16599999999999926}",20,0,36.72897011214317,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
418,False,"{'a': 0.7, 'e': 0.16399999999999926}",20,0,16.46455898999978,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
419,False,"{'a': 0.7, 'e': 0.16199999999999926}",25,19,11.120317757753922,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.7, 'e': 0.15999999999999925}",30,23,13.237715112175579,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.7, 'e': 0.15799999999999925}",20,3,26.5331223648997,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.7, 'e': 0.15599999999999925}",20,11,-36.659695457824824,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
